Name,Metal,dE_OOH,dE_O2
Au_C1P1S2-hex,Au,-1.574311095796034,-0.49582957914535974
Pt_N2O1P1-hex,Pt,-1.399870467799488,-0.9132292671060132
Au_N2O1S1-opp,Au,-2.2001772004332025,-1.1481133950161198
Cu_B1C2,Cu,-1.4957882450638778,-0.42419869198622884
Mn_N2O1S1-pen,Mn,-1.8077443646597118,-0.8028701689679938
Tl_C2N1O1-pen,Tl,-1.021724591816124,0.05930180477965585
Mn_N2O1S1-hex,Mn,-1.7903980584416814,-0.8533049197049909
Tl_C1P1S2-pen,Tl,-1.3209801018839613,-0.09554459695940842
Tl_C1P1S2-hex,Tl,-1.3229953303071653,-0.18424220894409338
Fe_C1O3,Fe,-2.079825468376228,-1.110717215142225
Hf_B3C1,Hf,-2.9855044247105553,-1.7177309210030476
Os_O2P1,Os,-2.0424815638199476,-1.0924682422772012
Cd_B2C1N1-pen,Cd,-1.084964272137384,-0.16688218941218658
Os_S4,Os,-2.2277833670630827,-1.3460443402964106
Cd_B2C1N1-hex,Cd,-1.1784637363534358,-0.16807464751222234
Mn_B2N1O1-hex,Mn,-1.641874503308273,-0.5799272508881277
Tl_B1P1S2-opp,Tl,-1.1127535551958232,-0.18647742015950008
Re_P3,Re,-2.982874448711314,-1.6882754609465938
Hg_B1C1N1O1,Hg,-1.2601483565567406,-0.10057057612503151
Hg_C1N1P2-hex,Hg,-1.6250134471557232,-0.4418718528333816
Hg_C1N1P2-pen,Hg,-1.2094248336839115,-0.13253094188369552
Rh_N2P2-hex,Rh,-1.212645675438253,-0.23892283646771695
V_N1P1S1,V,-1.196398670643262,-2.947335995014706
Cu_N1O2S1-opp,Cu,-1.6745059761049816,-0.809843672482808
Cu_B1C1P1,Cu,-1.537616165661646,-0.49622709633147544
Pt_N2P2-opp,Pt,-1.4517864638469433,-0.4684681387159717
Y_B1N1S2-hex,Y,-2.566451138897108,-1.7412643612719112
Ag_B1P2S1-pen,Ag,-1.2718064707532477,-0.43227260942681234
Ag_B1P2S1-hex,Ag,-1.3218757383702524,-0.4522274544762386
Cd_O1P1S2-opp,Cd,-1.3110212296969195,-0.2794804693228716
