catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge
Cd@N1O2P1-pen,-64886.75715,-60328.80617,-68969.90876,-69002.89590,-0.616834749,1.417067
Cd@N1O2S1-hex,-66432.74618,-61875.90414,-70515.76170,-70548.58638,-0.643779989,0.964367
Cd@N2O1,-57104.11761,-52567.14329,-61186.91563,-61220.03493,-0.726394434,1.171483
Cd@N2O1P1-hex,-64332.50500,-59772.85543,-68415.72145,-68448.64799,-0.606056955,1.186475
Cd@N2O1P1-pen,-64332.07053,-59772.94867,-68415.28329,-68448.23262,-0.612548562,1.302948
Cd@N2O1S1-hex,-65878.50410,-61320.26157,-69961.66822,-69994.43137,-0.623175612,0.934763
Cd@N2O1S1-opp,-65878.24139,-61320.21577,-69961.44827,-69994.39756,-0.622466186,0.976605
Cd@N2O1S1-pen,-65878.17366,-61320.03855,-69961.41479,-69994.09235,-0.621297447,0.933744
Cd@N2O2-hex,-57101.19506,-52540.02458,-61184.54703,-61217.37347,-0.581514824,1.166602
Cd@N2O2-opp,-57101.76964,-52539.77055,-61184.66766,-61217.65317,-0.577194445,1.176371
Cd@N2O2-pen,-57101.41007,-52540.04530,-61184.59510,-61217.55288,-0.581464507,1.161571
Cd@N2P1S1-hex,-73108.60432,-68552.54581,-77191.69038,-77224.49336,-0.67451447,1.278857
Cd@N2P1S1-opp,-73109.10900,-68553.50798,-77192.25428,-77225.16812,-0.671273208,1.304995
Cd@N2P1S1-pen,-73109.07723,-68553.02742,-77192.33687,-77225.09087,-0.671601628,0.147904
Cd@N2S1,-65872.41484,-61347.32157,-69955.65784,-69988.28847,-0.779178728,0.788432
Cd@N3,-56550.33951,-52011.21939,-60633.34143,-60666.16694,-0.719377997,0.839249
Cd@N3O1,-56546.91338,-51984.27845,-60629.89428,-60662.85871,-0.563678752,0.798754
Cd@N3P1,-63777.71604,-59217.19888,-67860.87453,-67893.71325,-0.62176217,0.389086
Cd@N3S1,-65323.67420,-60764.27475,-69406.91496,-69439.63712,-0.608881741,1.235593
Cd@N4,-55991.92009,-51427.83064,-60074.97758,-60108.06567,-0.564269305,1.27601
Cd@O2P1,-65435.10443,-60912.40660,-69518.05026,-69550.87064,-0.780436078,1.162115
Cd@O2P1S1-hex,-74217.03232,-69663.92456,-78300.33894,-78333.07692,-0.67616757,1.270662
Cd@O2P1S1-opp,-74218.50379,-69664.66775,-78301.29439,-78334.65790,-0.674451894,-0.759191
Cd@O2P1S1-pen,-74218.03598,-69664.29050,-78300.89013,-78334.13340,-0.678740432,0.242081
Co@B1C1N1,-88358.53117,-50745.54208,-92441.74068,-92474.69183,-0.374309655,0.799152
Co@B1C1N1O1,-88336.89827,-50717.57593,-92420.11661,-92453.06882,-0.282754256,0.820825
Co@B1C1N1S1,-97115.90745,-59497.44615,-101198.99453,-101231.80973,-0.254672581,0.57823
Co@B1C1N2-hex,-87781.99287,-50161.48363,-91864.80754,-91898.07776,-0.24359621,0.03146
Co@B1C1N2-opp,-87781.76843,-50161.46741,-91864.58112,-91897.89415,-0.288577504,0.762135
Co@B1C1N2-pen,-87781.68271,-50161.24474,-91864.35022,-91897.82479,-0.247407115,0.592542
Co@B1C1O1,-88911.77513,-51301.09841,-92994.93657,-93027.63018,-0.295713942,0.808366
Co@B1C1O1S1,-97670.40687,-60053.24075,-101753.60601,-101786.59900,-0.253460034,0.803237
Co@B1C1O2-hex,-88891.30771,-51273.49656,-92974.29208,-93007.53378,-0.286795277,0.811215
Co@B1C1O2-opp,-88890.81110,-51272.43392,-92973.93286,-93006.78986,-0.286570114,0.060742
Co@B1C1O2-pen,-88890.54251,-51272.01802,-92973.54994,-93007.03178,-0.28843177,0.557273
Co@B1C2N1-hex,-87328.10279,-49707.85107,-91411.46040,-91444.28135,-0.272557951,0.699519
Co@B1C2N1-opp,-87328.09229,-49707.51981,-91411.38779,-91444.32009,-0.279047434,0.781021
Co@B1C2N1-pen,-87328.30239,-49707.77475,-91411.64838,-91444.54749,-0.27442503,0.726982
Co@B1C2O1-hex,-87882.54832,-50262.82911,-91965.66460,-91998.86548,-0.252609445,0.696216
Co@B1C2O1-opp,-87882.65729,-50263.22639,-91966.17182,-91999.10383,-0.289073829,0.763702
Co@B1C2O1-pen,-87883.11836,-50263.54696,-91966.39391,-91999.41188,-0.288894587,0.727121
Co@B1N1O1,-89364.36688,-51754.80902,-93447.62459,-93480.26095,-0.293227622,0.680434
Co@B1N1O2-hex,-89344.42647,-51727.02829,-93427.35843,-93460.53805,-0.243693651,0.76655
Co@B1N1O2-opp,-89344.30621,-51726.53103,-93427.52040,-93460.31626,-0.247207435,0.769773
Co@B1N1O2-pen,-89344.33655,-51726.14999,-93427.46479,-93460.48964,-0.291204822,0.252455
Co@B1N1S1,-98138.94379,-60534.89370,-102222.06588,-102254.75584,-0.402450498,0.741126
Co@B1N2,-88811.22220,-51199.53748,-92894.21612,-92927.33479,-0.293370767,0.797746
Co@B1N2O1-hex,-88789.37076,-51170.18379,-92872.07808,-92905.55624,-0.27174402,0.779786
Co@B1N2O1-opp,-88789.98329,-51171.05647,-92873.26400,-92906.11114,-0.250358973,-0.681078
Co@B1N2O1-pen,-88790.05089,-51171.31806,-92872.80956,-92906.28932,-0.256271516,0.252434
Co@B1N2S1-hex,-97569.84037,-59950.97333,-101652.94503,-101686.05673,-0.242526438,0.812336
Co@B1N2S1-opp,-97569.31239,-59951.24652,-101652.50546,-101685.48043,-0.281254818,0.800701
Co@B1N2S1-pen,-97569.30427,-59951.03898,-101652.33887,-101685.62217,-0.249277601,0.834612
Co@B1N3,-88235.18240,-50614.98235,-92318.45882,-92351.26302,-0.252321474,0.610469
Co@B1O1S1,-98692.49936,-61089.54090,-102775.92194,-102808.49216,-0.32150236,0.638314
Co@B1O2,-89917.82621,-52310.37061,-94000.96152,-94033.74643,-0.279143947,0.622422
Co@B1O2S1-hex,-98678.90619,-61062.44165,-102762.30763,-102795.11189,-0.262065363,0.851425
Co@B1O2S1-opp,-98678.16201,-61061.94769,-102761.22744,-102794.29301,-0.253431345,-0.691689
Co@B1O2S1-pen,-98678.54584,-61061.74012,-102761.50707,-102794.67058,-0.255984977,0.266549
Co@C1N1O1,-89724.52842,-52113.83007,-93807.89674,-93840.45816,-0.300281751,0.499306
Co@C1N1O1P1,-96937.87727,-59318.66049,-101021.09775,-101054.06462,-0.249694589,0.565099
Co@C1N1O1S1,-98484.41049,-60866.22513,-102567.73073,-102600.56865,-0.246004609,0.532882
Co@C1N1O2-opp,-89705.37046,-52086.49578,-93788.51807,-93821.32574,-0.246406449,0.751133
Co@C1N1O2-pen,-89705.07742,-52086.19714,-93788.13490,-93821.35971,-0.244139697,0.762947
Co@C1N1P1,-96952.98343,-59347.41750,-101036.19607,-101069.02832,-0.421627637,0.961457
Co@C1N1P1S1,-105718.00576,-68098.88887,-109801.17443,-109834.12812,-0.251008921,0.942954
Co@C1N1S1,-98499.10150,-60893.64649,-102582.25880,-102614.81727,-0.328178228,-0.467194
Co@C1N2,-89171.11810,-51557.87162,-93254.45439,-93287.38599,-0.297990066,0.512054
Co@C1N2O1-hex,-89150.47968,-51529.85392,-93233.38356,-93266.64964,-0.263462754,-0.24301
Co@C1N2O1-opp,-89150.91064,-51530.20906,-93233.62733,-93266.95621,-0.24557939,0.70174
Co@C1N2O1-pen,-89150.85524,-51530.64855,-93234.01886,-93267.05820,-0.265040749,0.986913
Co@C1N2P1-hex,-96384.47898,-58764.26029,-100467.66403,-100500.73146,-0.241564726,0.992636
Co@C1N2P1-opp,-96383.99892,-58763.62269,-100467.24775,-100500.15325,-0.276218474,0.97961
Co@C1N2P1-pen,-96384.04719,-58763.69737,-100467.17414,-100500.20305,-0.24576509,0.716992
Co@C1N2S1-hex,-97930.82272,-60310.44622,-102013.96119,-102047.00556,-0.257136583,0.770149
