catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge,,property
Cd@B1C1O2-hex,-55834.75254,-51273.49656,-59917.78134,-59950.97043,-0.631432822,0.830435,,-3.0288
Cd@B1C1O2-opp,-55833.78666,-51272.43392,-59916.59344,-59949.74213,-0.582748958,0.899213,,-2.80678
Cd@B1C1O2-pen,-55833.74558,-51272.01802,-59916.58506,-59949.69899,-0.627685666,0.878059,,-2.83948
Cd@B1C2N1-hex,-54271.57024,-49707.85107,-58354.59535,-58387.76102,-0.590502765,0.827988,,-3.02511
Cd@B1C2N1-opp,-54272.32393,-49707.51981,-58355.78564,-58388.50872,-0.581789789,0.770945,,-3.46171
Cd@B1C2N1-pen,-54272.3062,-49707.77475,-58355.50276,-58388.48291,-0.588389805,0.813202,,-3.19656
Cd@B1C2O1-hex,-54825.51762,-50262.81658,-58908.79696,-58941.89015,-0.599941875,0.825339,,-3.27934
Cd@B1C2O1-pen,-54826.85789,-50263.54696,-58910.20509,-58943.40316,-0.602701741,0.799232,,-3.3472
Cd@B1N1O2-hex,-56286.85943,-51727.02829,-60370.12437,-60402.97401,-0.617210838,0.957824,,-3.26494
Cd@B1N1O2-opp,-56287.4082,-51726.52748,-60370.38365,-60403.35699,-0.591224293,0.951234,,-2.97545
Cd@B1N1O2-pen,-56286.89663,-51726.39118,-60370.12422,-60403.09618,-0.607429181,0.990887,,-3.22759
Cd@B1N2O1-opp,-55733.01751,-51171.05647,-59816.08538,-59848.94794,-0.629260659,1.009779,,-3.06787
Cd@B1N2O1-pen,-55732.81112,-51171.31806,-59815.9764,-59849.09255,-0.61196195,0.998157,,-3.16528
Cd@B1N2S1-opp,-64509.87441,-59951.24652,-68593.01041,-68625.92438,-0.66141895,0.858549,,-3.136
Cd@B1N3,-55178.22478,-50614.99328,-59261.50365,-59294.34306,-0.616632243,0.987223,,-3.27887
Cd@B1O2S1-hex,-65618.47382,-61062.44165,-69701.66818,-69734.46588,-0.671665134,0.81701,,-3.19436
Cd@B1O2S1-opp,-65618.59544,-61061.94769,-69701.80681,-69734.86407,-0.632175565,0.783104,,-3.21137
Cd@C1N1O1S1,-65424.42831,-60866.22513,-69507.60724,-69540.69254,-0.617964679,1.090802,,-3.17893
Cd@C1N1O2-hex,-56647.48872,-52086.22053,-60730.23885,-60763.48083,-0.58836956,0.836784,,-2.75013
Cd@C1N1O2-opp,-56648.37513,-52086.49578,-60731.69318,-60764.44369,-0.563088968,1.051907,,-3.31805
Cd@C1N1O2-pen,-56647.79101,-52086.19714,-60730.5521,-60763.94158,-0.574344825,1.201387,,-2.76109
